1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3294.75,3296.25,3354.75,3215.25,3375.0,3296.25,3080.25,3255.75,2877.75,3237.0,3276.75,3329.25,3426.75,3542.25,3638.25,3608.25,3596.25,3634.5,3336.75,3611.25,3679.5,3675.0,3780.0,3784.5,3798.0,3809.25,3816.75,3813.0,3816.0,3783.75,3743.25
3719.25,3729.0,3858.75,3864.75,3880.5,3892.5,3914.25,3945.75,3991.5,4146.75,4143.75,4104.0,3828.75,4185.75,4161.75,3874.5,4105.5,4342.5,4389.75,4364.25,3849.0,4380.75,4511.25,4663.5,4615.5,3746.25,4469.25,4501.5,4195.5,,
4456.5,4344.75,4768.5,4757.25,4893.75,4800.0,4740.0,4786.5,4882.5,4835.25,4795.5,4811.25,4898.25,4911.75,5001.75,5007.75,5036.25,4971.0,5127.75,5105.25,4818.0,5103.75,5110.5,4898.25,5120.25,5040.0,4922.25,4809.75,4611.75,5007.0,5166.75
5200.5,4989.0,5250.75,5052.0,5196.75,4600.5,5321.25,5325.0,5355.75,4822.5,4887.75,5363.25,5096.25,4970.25,5045.25,5256.0,5337.75,5353.5,4785.75,5388.0,4935.75,4959.0,5343.0,5213.25,5291.25,5046.0,5267.25,5263.5,5475.75,5489.25,
5651.25,5646.0,5569.5,5382.75,5252.25,5487.0,5382.0,5244.0,5078.25,5397.0,5212.5,4803.75,4147.5,4906.5,4971.0,4910.25,5102.25,5136.0,5373.75,5401.5,5281.5,4944.75,5505.75,5530.5,5430.75,5108.25,5397.75,5426.25,5379.0,5379.0,5433.0
5365.5,5351.25,5154.0,5232.75,5073.0,5158.5,5262.75,2894.25,4855.5,3541.5,5034.0,5108.25,4887.75,4693.5,4688.25,4770.0,4789.5,3776.25,4434.0,4053.0,4784.25,5011.5,2299.5,2809.5,3721.5,4529.25,3046.5,2399.25,2108.25,2188.5,
1370.25,2653.5,2823.0,3069.0,2331.75,3616.5,4032.0,3228.0,3167.25,3505.5,3489.75,3515.25,3248.25,2664.0,2160.75,2981.25,3326.25,2153.25,2877.75,3222.0,2157.75,1223.25,2345.25,1778.25,2053.5,4269.0,2256.75,3139.5,1043.25,4110.0,4212.0
2538.75,1896.75,1806.0,2108.25,2510.25,3962.25,4149.0,3937.5,2914.5,2880.75,3265.5,3556.5,3681.75,4124.25,3740.25,4324.5,4320.75,4506.0,4392.0,3370.5,3639.75,2607.0,2071.5,1011.0,839.25,324.0,2300.25,2501.25,3550.5,3763.5,4547.25
4223.25,1141.5,2488.5,3417.75,3965.25,2022.75,3615.75,4445.25,2997.75,3513.75,2369.25,4104.0,4152.75,3586.5,4033.5,4383.0,4028.25,3328.5,3954.0,4177.5,2966.25,3189.75,3137.25,2651.25,2046.0,1452.75,1942.5,1272.75,2209.5,3549.0,
3397.5,3906.75,3138.0,3177.0,4024.5,3879.0,4362.0,4318.5,3606.0,2937.0,2600.25,3189.75,3936.0,3536.25,3804.75,3595.5,3896.25,3639.75,3232.5,3292.5,2937.75,3854.25,3862.5,3913.5,4149.0,4113.75,4043.25,4029.75,3804.75,3862.5,3976.5
3968.25,3946.5,3758.25,3863.25,3869.25,3898.5,3816.0,3786.0,3778.5,3785.25,3770.25,3732.75,3729.75,3733.5,3601.5,3597.75,3585.0,3657.0,3592.5,3571.5,3597.0,3558.75,3522.75,3485.25,3487.5,3519.0,3512.25,3474.75,3492.0,3519.75,
3476.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
